id,city,country,year,gross_rental_yield_centre,gross_rental_yield_out,price_to_rent_centre,price_to_rent_out,affordability_index,qol_index,ppi_index,health_care_index,traffic_commute_index,pollution_index,climate_index,crime_index,safety_index,cost_of_living_index,rent_index,groceries_index,restaurant_price_index,local_ppi_index,y
12,Novi Sad,Serbia,2017,2.776,2.493,4.792,5.765,1.143,5.073,1.6,4.882,2.851,2.27,5.126,4.027,4.929,1.587,0.489,1.194,1.039,1.45,6.415
13,Paris,France,2017,2.245,2.372,5.938,6.067,1.584,4.558,3.882,7.496,6.432,3.732,4.611,4.719,4.236,3.853,3.247,3.702,3.131,3.518,4.502
14,Florence,Italy,2017,2.819,2.916,4.719,4.938,1.568,4.364,3.028,6.257,6.389,3.486,5.444,2.573,6.387,4.142,2.014,3.761,3.116,1.983,7.567
15,Skopje,North Macedonia,2017,3.436,3.143,3.875,4.58,1.176,4.01,1.615,6.518,5.301,4.469,4.771,3.965,4.992,1.599,0.618,1.291,1.009,1.464,7.069
16,Stockholm,Sweden,2017,2.279,2.428,5.844,5.934,1.78,5.73,4.149,7.011,6.081,0.887,3.502,4.095,4.861,3.864,3.074,3.596,3.272,3.759,9.723
17,Vilnius,Lithuania,2017,3.162,3.289,4.211,4.381,1.748,4.889,2.2,7.176,4.599,1.406,1.304,2.902,6.057,2.188,1.131,1.689,1.563,1.994,13.285
18,Lisbon,Portugal,2017,3.547,4.077,3.753,3.532,1.731,5.991,2.496,7.014,5.296,1.868,5.954,2.958,6.002,2.337,1.714,1.868,1.712,2.262,18.925
19,Saint Petersburg,Russia,2017,4.499,4.629,2.957,3.107,0.784,3.302,2.04,6.322,8.058,3.401,1.277,3.782,5.175,2.056,1.484,1.631,1.737,1.849,9.707
20,Prague,Czech Republic,2017,2.999,3.346,4.441,4.302,1.878,5.757,3.118,7.309,5.727,2.051,4.226,2.663,6.297,2.021,1.462,1.756,1.217,2.825,17.276
21,Vienna,Austria,2017,2.236,2.77,5.957,5.198,1.96,7.001,4.008,8.356,3.949,1.034,4.761,1.951,7.01,3.177,2.28,2.894,2.58,3.632,19.605
22,Dnipro,Ukraine,2017,5.184,4.418,2.568,3.256,0.653,3.732,1.162,5.542,6.509,2.776,5.265,4.374,5.187,1.17,0.512,0.889,0.795,1.271,12.053
23,Novosibirsk,Russia,2017,4.361,4.378,3.052,3.286,0.849,3.636,1.736,7.627,6.169,3.076,1.182,4.415,4.541,1.647,0.878,1.492,1.168,1.781,10.487
24,Sarajevo,Bosnia And Herzegovina,2017,2.99,3.021,4.455,4.762,1.421,4.423,1.99,6.497,4.31,3.84,4.368,4.339,4.617,1.743,0.605,1.448,1.07,1.803,6.998
25,Iasi,Romania,2017,3.719,3.622,3.576,3.972,1.699,4.885,2.02,6.754,5.347,3.34,3.899,2.266,6.695,1.569,0.685,1.284,1.054,1.83,15.293
26,Cluj-Napoca,Romania,2017,4.156,3.606,3.201,3.995,1.633,5.751,2.106,6.941,4.514,1.968,3.96,1.708,7.254,1.705,0.845,1.47,1.115,1.909,20.054
27,Munich,Germany,2017,2.502,2.688,5.328,5.356,2.287,6.861,5.026,8.53,5.189,0.95,2.818,1.406,7.557,3.326,3.026,2.63,2.756,4.554,22.786
28,Kazan,Russia,2017,4.678,4.264,2.843,3.373,0.947,4.671,1.821,7.493,7.834,3.768,2.326,3.699,5.175,1.753,0.889,1.431,1.661,1.753,11.955
29,Timisoara,Romania,2017,4.361,3.395,3.051,4.238,1.748,5.419,2.023,6.5,3.245,3.199,4.634,2.074,6.888,1.639,0.734,1.384,1.043,1.833,18.181
30,Luxembourg,Luxembourg,2017,3.299,2.875,4.034,5.009,2.27,6.711,4.766,7.685,5.177,1.112,3.969,2.187,6.774,3.698,3.897,3.013,3.646,4.319,22.622
31,Warsaw,Poland,2017,3.813,4.166,3.492,3.458,1.944,5.422,3.024,6.273,5.964,2.559,3.939,2.339,6.621,1.889,1.418,1.465,1.36,2.741,19.26
32,Barcelona,Spain,2017,3.436,3.557,3.872,4.046,2.14,5.28,3.382,7.525,5.486,3.785,5.442,3.547,5.411,2.831,2.038,2.342,2.213,3.064,15.452
33,Yekaterinburg,Russia,2017,4.473,4.605,2.975,3.126,0.996,2.784,2.038,6.719,5.151,4.253,-0.564,4.58,4.375,1.795,0.936,1.528,1.371,1.847,7.737
34,Budapest,Hungary,2017,4.464,4.727,2.979,3.047,1.731,4.752,2.129,5.47,5.539,2.854,4.2,3.457,5.502,2.033,1.14,1.6,1.281,1.93,15.365
35,Ljubljana,Slovenia,2017,3.008,3.094,4.422,4.647,2.009,6.024,2.939,6.643,3.972,1.501,3.821,2.153,6.808,2.72,1.349,2.24,1.885,2.664,16.957
36,Rijeka,Croatia,2017,3.487,3.533,3.813,4.076,1.699,6.03,2.916,6.804,3.341,1.949,5.128,1.788,7.174,2.37,0.851,2.0,1.516,1.817,19.451
37,Tallinn,Estonia,2017,3.35,3.151,3.97,4.566,2.205,5.921,2.798,7.054,4.408,1.153,2.815,2.059,6.902,2.379,1.167,1.747,2.057,2.536,18.259
38,Bratislava,Slovakia,2017,4.01,3.955,3.321,3.64,2.352,5.623,2.887,6.521,5.585,2.284,4.461,2.656,6.304,2.205,1.494,1.967,1.377,2.616,19.422
39,Madrid,Spain,2017,3.496,3.972,3.81,3.623,2.401,5.898,3.466,8.073,5.886,2.995,5.598,2.814,6.145,2.802,2.154,2.31,2.333,3.141,20.236
40,Bologna,Italy,2017,2.785,3.094,4.781,4.647,2.042,5.319,2.21,7.774,4.975,3.738,6.128,3.702,5.256,3.299,1.775,2.911,2.751,3.054,10.888
41,Geneva,Switzerland,2017,2.691,2.802,4.94,5.131,2.45,6.403,4.928,7.099,3.554,1.567,4.447,2.458,6.502,6.15,5.38,6.038,5.098,4.466,17.353
42,Krakow (Cracow),Poland,2017,3.745,4.053,3.556,3.554,2.025,4.961,3.009,6.515,4.99,3.754,3.83,2.78,6.179,1.787,1.183,1.409,1.224,2.727,17.07
43,Zagreb,Croatia,2017,2.836,3.07,4.688,4.693,1.846,5.872,2.732,7.016,4.843,1.982,4.444,2.559,6.401,2.249,0.916,1.915,1.464,2.476,15.105
44,Sibiu,Romania,2017,4.43,4.037,3.004,3.57,1.846,5.48,2.036,6.215,4.157,2.799,5.246,2.456,6.828,1.626,0.582,1.359,1.085,1.555,18.877
45,Bucharest,Romania,2017,4.499,4.418,2.959,3.256,1.895,4.398,2.181,5.315,5.845,3.886,3.854,2.587,6.373,1.785,0.921,1.441,1.358,1.976,15.108
46,Brno,Czech Republic,2017,3.71,3.59,3.591,4.011,2.581,5.951,3.083,7.822,4.046,2.524,4.128,2.549,6.412,1.906,1.104,1.684,1.054,2.794,21.138
47,Riga,Latvia,2017,4.207,4.175,3.164,3.445,2.336,4.988,2.116,5.99,4.474,1.85,2.719,3.339,5.62,2.279,0.98,1.701,1.764,1.918,15.643
48,Turin,Italy,2017,2.776,3.346,4.79,4.298,2.499,4.783,3.257,6.859,4.482,4.129,5.181,4.917,4.038,3.011,1.48,2.486,2.633,2.952,8.635
49,Zurich,Switzerland,2017,2.605,2.631,5.113,5.469,2.695,6.868,5.473,7.592,5.219,0.766,3.856,1.623,7.34,6.023,4.926,6.126,5.098,4.96,19.803
50,Amsterdam,Netherlands,2017,4.361,4.573,3.051,3.149,2.466,6.301,3.679,7.504,4.306,1.749,4.864,2.916,6.043,3.613,3.506,2.897,3.251,3.334,24.494
51,Oslo,Norway,2017,3.008,3.476,4.43,4.142,2.499,5.07,4.13,7.247,6.25,1.347,2.006,4.366,4.591,4.952,3.498,4.56,4.62,3.743,11.313
52,Dusseldorf,Germany,2017,2.656,3.086,5.016,4.665,2.564,6.34,4.367,8.33,5.262,1.916,4.43,2.595,6.365,4.052,2.664,3.46,3.324,3.778,18.098
53,Helsinki,Finland,2017,2.871,3.338,4.63,4.317,2.777,6.249,4.501,7.695,5.559,0.983,2.554,2.429,6.532,3.629,2.812,3.106,3.304,4.078,20.158
54,Athens,Greece,2017,3.693,3.249,3.604,4.426,2.042,4.489,2.088,5.13,5.655,3.677,5.78,4.537,4.418,2.714,0.905,2.179,2.351,1.892,6.746
55,Gothenburg,Sweden,2017,2.571,2.94,5.173,4.899,2.695,6.361,4.561,6.546,3.204,1.119,3.806,4.108,4.849,3.52,2.226,3.217,3.064,4.133,15.224
56,Poznan,Poland,2017,4.13,4.183,3.223,3.442,2.107,5.581,2.949,5.255,5.576,4.237,4.516,2.595,6.365,1.749,0.997,1.453,1.224,2.463,16.916
57,Seville (Sevilla),Spain,2017,3.188,4.451,4.174,3.236,2.711,4.955,2.646,8.302,4.893,2.83,5.849,2.365,6.595,2.299,1.411,1.923,1.788,3.042,21.019
58,Gdansk,Poland,2017,3.822,4.532,3.483,3.176,2.27,6.134,2.933,6.483,4.072,1.692,4.41,2.793,6.167,1.809,1.076,1.335,1.241,2.658,22.003
59,Wroclaw,Poland,2017,4.67,4.987,2.849,2.885,2.352,4.837,2.816,5.793,6.4,3.285,3.942,3.188,5.771,1.777,1.198,1.441,1.224,2.552,18.431
60,Cambridge,United Kingdom,2017,4.164,4.175,3.198,3.449,2.401,5.724,3.568,7.847,4.44,2.79,5.025,4.554,4.737,3.399,3.04,2.766,3.285,3.631,19.164
61,Varna,Bulgaria,2017,4.276,4.857,3.114,2.965,1.993,4.918,2.103,6.251,4.771,3.817,5.024,3.765,5.891,1.654,0.597,1.443,1.149,1.656,16.057
62,Kosice,Slovakia,2017,5.253,4.906,2.535,2.935,2.744,5.063,2.637,6.539,5.191,2.318,4.971,2.744,6.252,2.087,1.103,1.896,1.074,2.067,22.35
63,Hamburg,Germany,2017,2.811,3.216,4.731,4.472,2.777,6.033,4.349,8.549,5.225,1.5,3.378,4.293,4.663,3.509,2.252,2.831,2.555,3.941,16.47
64,Porto,Portugal,2017,4.481,4.223,2.968,3.41,2.548,5.997,2.698,7.767,4.922,2.209,5.675,3.924,5.033,2.256,1.218,1.825,1.499,2.445,20.358
65,Sofia,Bulgaria,2017,4.576,4.483,2.909,3.21,2.091,4.8,2.328,5.563,4.616,3.324,4.412,4.076,4.881,1.744,0.804,1.483,1.153,2.11,14.953
66,Thessaloniki,Greece,2017,3.599,3.801,3.697,3.789,2.466,5.368,2.053,6.93,3.796,3.432,5.626,3.032,5.927,2.588,0.771,2.02,2.122,1.86,15.081
67,Frankfurt,Germany,2017,3.128,3.598,4.259,3.997,2.973,6.101,4.677,7.371,4.262,2.032,3.553,3.499,5.459,3.483,2.548,2.996,2.572,4.239,19.685
68,Berlin,Germany,2017,3.076,3.127,4.326,4.599,3.054,6.249,4.725,8.114,5.01,2.298,3.935,3.285,5.674,2.972,2.011,2.356,2.121,4.282,20.056
69,Brasov,Romania,2017,4.336,3.825,3.068,3.763,2.646,4.042,2.075,5.855,4.105,4.218,4.375,2.124,6.837,1.577,0.623,1.277,1.148,2.161,16.572
70,Osijek,Croatia,2017,3.093,3.029,4.298,4.748,2.27,5.709,2.404,6.742,5.024,1.92,4.71,2.906,7.0,1.982,0.528,1.702,1.11,2.162,15.52
71,Plovdiv,Bulgaria,2017,4.241,4.361,3.139,3.3,2.091,5.364,2.046,6.789,4.71,3.714,4.432,3.397,5.152,1.669,0.477,1.408,1.202,1.641,15.499
72,Trondheim,Norway,2017,3.899,3.151,3.413,4.571,3.022,6.198,3.973,7.494,5.282,1.288,3.578,3.019,5.94,5.172,3.168,4.746,4.59,3.648,17.51
73,Copenhagen,Denmark,2017,4.533,4.272,2.939,3.373,3.071,6.583,4.157,7.22,4.772,1.338,4.236,1.899,7.062,4.074,3.475,3.163,4.048,3.767,26.644
74,Dublin,Ireland,2017,5.141,5.84,2.588,2.465,2.842,5.54,4.029,5.265,5.698,1.798,4.509,4.724,4.231,3.692,3.79,2.933,3.257,3.651,21.373
75,Treviso,Italy,2017,3.745,4.004,3.552,3.596,3.152,4.797,1.676,6.435,5.087,3.449,5.445,3.126,3.775,3.785,2.143,2.983,2.955,2.091,11.52
76,Lodz,Poland,2017,5.261,4.727,2.53,3.047,2.973,4.319,2.322,5.874,4.87,2.486,4.281,3.281,5.677,1.71,0.86,1.343,1.19,2.501,19.899
77,Brussels,Belgium,2017,4.559,4.337,2.922,3.316,3.43,5.299,3.898,7.956,5.078,3.541,4.884,4.877,4.078,3.513,2.421,3.09,3.21,3.533,18.095
78,Bergen,Norway,2017,4.139,4.215,3.215,3.417,3.446,5.736,3.946,8.161,5.777,1.31,4.435,3.837,5.12,4.835,3.197,4.498,4.145,3.74,20.094
79,Heraklion,Greece,2017,3.487,3.038,3.82,4.743,3.103,4.097,1.76,5.547,4.455,3.517,5.802,3.447,5.014,2.54,0.707,2.187,1.909,2.491,9.803
80,Stavanger,Norway,2017,3.513,3.541,3.789,4.066,3.61,6.312,3.801,7.645,5.245,1.326,4.405,3.981,4.976,5.201,2.797,4.755,5.214,4.106,16.534
81,Antwerp,Belgium,2017,4.67,4.345,2.85,3.309,3.675,5.347,3.308,8.005,5.193,3.974,5.237,3.865,5.093,3.672,1.965,3.336,3.346,3.208,18.627
82,Valencia,Spain,2017,4.276,5.052,3.114,2.85,3.626,5.508,2.471,8.061,6.021,3.265,5.414,2.691,6.269,2.444,1.285,2.057,1.887,3.225,23.133
83,Katowice,Poland,2017,4.936,4.703,2.695,3.061,3.299,4.466,2.256,6.353,4.955,3.231,4.579,2.022,5.918,1.636,0.786,1.33,1.057,2.938,21.629
84,Reykjavik,Iceland,2017,7.035,6.944,1.892,2.074,2.695,6.112,3.15,6.886,3.187,0.652,2.813,2.154,6.807,5.168,3.787,4.846,4.661,2.855,29.391
85,Aberdeen,United Kingdom,2017,4.661,4.337,2.853,3.32,3.806,6.001,2.799,8.615,5.845,2.31,5.789,3.785,3.924,3.462,2.303,2.835,3.23,4.135,21.79
86,Rotterdam,Netherlands,2017,5.244,5.182,2.537,2.779,4.361,5.965,4.087,8.002,4.919,2.221,3.707,3.661,5.297,3.331,2.031,2.469,3.22,3.703,25.893
87,Malaga,Spain,2017,5.09,4.711,2.614,3.054,4.704,5.734,3.131,8.001,5.896,2.504,5.944,2.196,6.765,2.302,1.368,1.916,1.744,3.844,28.872
88,Ostrava,Czech Republic,2017,5.758,7.139,2.311,2.017,5.406,5.74,3.074,7.658,4.221,2.441,4.8,2.331,6.619,1.764,0.74,1.57,1.059,2.762,33.007
89,Malmo,Sweden,2017,4.627,5.312,2.878,2.71,5.749,6.054,3.873,7.09,2.755,1.22,5.38,5.456,3.498,3.285,2.076,3.09,2.858,4.988,26.057
90,London,United Kingdom,2018,2.382,2.956,5.598,4.874,1.094,4.463,3.769,6.985,7.477,3.247,5.586,4.272,4.685,4.108,5.838,3.132,3.73,3.415,9.112
91,Belgrade,Serbia,2018,2.682,2.956,4.957,4.865,1.062,4.11,1.638,5.582,4.992,3.279,5.307,3.306,5.653,2.037,0.935,1.502,1.484,1.484,6.322
92,Rome,Italy,2018,2.194,3.354,6.077,4.291,1.274,3.928,2.962,6.135,7.245,3.68,5.856,4.861,4.094,3.65,3.064,3.178,3.303,2.684,3.195
93,Lviv,Ukraine,2018,4.678,5.929,2.847,2.428,0.359,3.707,1.094,5.733,6.528,3.169,4.397,3.571,5.387,1.172,0.617,0.953,0.692,0.991,13.42
94,Moscow,Russia,2018,3.599,4.085,3.703,3.522,0.621,3.525,2.424,5.92,8.358,3.393,3.484,4.113,4.843,2.4,2.597,1.902,2.169,2.197,8.208
95,Odessa (Odesa),Ukraine,2018,5.552,5.149,2.398,2.797,0.392,3.755,1.032,5.732,5.516,3.859,4.17,4.113,5.122,1.38,0.779,1.037,0.931,1.023,12.332
96,Milan,Italy,2018,2.648,3.582,5.028,4.02,1.437,4.509,2.927,7.505,6.117,3.481,5.575,4.023,4.934,3.941,3.324,3.514,3.572,2.653,9.212
97,Paris,France,2018,2.245,2.217,5.938,6.489,1.535,4.597,3.972,7.536,6.631,3.625,5.586,4.737,4.218,4.301,3.83,4.059,3.552,3.6,4.332
98,Split,Croatia,2018,2.236,2.428,5.94,5.921,1.176,5.864,2.065,6.652,5.227,1.977,4.943,3.138,5.821,2.735,1.046,2.346,2.135,1.963,7.158
99,Kiev (Kyiv),Ukraine,2018,5.218,5.775,2.551,2.492,0.457,3.588,1.525,5.485,5.842,3.753,4.35,4.285,4.671,1.275,0.946,1.021,0.852,1.382,13.009
100,Kharkiv,Ukraine,2018,6.229,6.091,2.137,2.363,0.425,3.593,1.106,4.437,5.707,3.113,4.042,4.184,4.773,1.151,0.631,0.896,0.714,1.003,13.703
101,Tirana,Albania,2018,3.487,3.874,3.813,3.718,1.078,3.253,1.256,5.017,6.171,4.787,5.459,3.531,5.427,1.822,0.758,1.478,1.241,1.403,6.167
102,Prague,Czech Republic,2018,2.819,2.997,4.722,4.798,1.666,5.733,3.139,7.59,5.25,2.006,5.092,2.465,6.496,2.494,1.908,2.187,1.56,2.844,16.754
103,Stockholm,Sweden,2018,2.236,2.315,5.946,6.209,1.764,5.871,4.403,6.971,6.024,0.937,4.401,4.256,4.7,4.208,3.447,3.909,3.627,3.99,9.562
104,Novi Sad,Serbia,2018,2.571,2.355,5.185,6.122,1.437,4.959,1.97,5.347,3.004,2.291,5.264,3.947,5.01,1.802,0.569,1.451,1.118,1.785,6.501
105,Skopje,North Macedonia,2018,3.565,3.306,3.736,4.356,1.225,3.679,1.709,6.441,5.216,4.553,4.819,4.084,4.873,1.784,0.705,1.428,1.128,1.548,7.061
106,Minsk,Belarus,2018,4.344,3.833,3.06,3.756,0.588,5.054,1.781,6.118,4.519,2.063,4.063,2.315,6.646,1.635,0.857,1.328,1.476,1.614,16.376
107,Munich,Germany,2018,2.219,2.282,5.997,6.311,1.846,6.961,4.809,8.645,5.137,1.02,4.757,1.561,7.401,3.926,3.538,3.393,3.192,4.358,19.762
108,Florence,Italy,2018,3.162,3.062,4.214,4.707,1.715,5.079,2.102,6.211,5.863,3.463,5.172,3.093,5.866,4.025,2.422,3.547,3.394,2.437,8.738
109,Vilnius,Lithuania,2018,3.376,3.46,3.944,4.165,1.862,5.488,2.318,7.039,4.425,1.545,4.161,2.764,6.195,2.513,1.363,1.98,1.934,2.101,16.182
110,Budapest,Hungary,2018,3.547,4.093,3.748,3.52,1.503,4.488,2.26,5.133,5.715,2.975,4.909,3.306,5.652,2.362,1.377,1.893,1.565,2.048,12.058
111,Vienna,Austria,2018,2.245,2.794,5.938,5.158,1.878,6.745,4.024,8.038,4.023,1.034,5.075,2.024,6.938,3.642,2.668,3.432,2.841,3.646,18.57
112,Barcelona,Spain,2018,3.419,3.614,3.894,3.984,1.846,4.835,3.144,7.418,4.935,3.807,6.047,4.101,4.856,3.23,2.567,2.757,2.519,2.849,13.45
113,Dnipro,Ukraine,2018,5.115,5.206,2.603,2.765,0.637,3.809,1.097,4.555,6.379,3.013,4.203,3.573,4.432,1.222,0.505,0.951,0.88,1.145,11.322
114,Lisbon,Portugal,2018,4.31,5.36,3.086,2.687,1.813,5.553,2.38,7.095,5.514,1.978,6.227,3.0,5.96,2.672,2.233,2.187,1.941,2.156,21.729
115,Nizhny Novgorod,Russia,2018,4.807,4.085,2.77,3.522,0.947,2.569,2.291,5.484,8.446,2.823,0.187,5.878,4.617,1.845,0.867,1.633,1.462,1.488,4.64
116,Rostov-na-donu,Russia,2018,5.381,5.823,2.471,2.474,0.784,3.25,2.091,3.774,7.109,2.182,2.146,4.24,4.417,1.811,0.93,1.471,1.615,1.302,10.55
117,Saint Petersburg,Russia,2018,4.567,4.313,2.916,3.337,0.931,4.005,2.309,6.347,7.664,3.509,3.959,3.654,5.303,2.149,1.536,1.773,1.848,2.093,12.176
118,Sarajevo,Bosnia And Herzegovina,2018,3.41,3.135,3.902,4.596,1.454,4.06,1.989,5.636,4.698,3.863,4.826,4.182,4.774,1.968,0.771,1.645,1.219,1.803,7.153
119,Banja Luka,Bosnia And Herzegovina,2018,2.896,2.502,4.595,5.758,1.486,3.977,2.119,4.963,4.088,3.799,4.91,4.087,5.002,1.846,0.592,1.522,1.121,1.89,4.431
120,Ljubljana,Slovenia,2018,2.905,2.899,4.588,4.966,1.927,6.015,3.04,6.726,4.304,1.468,4.819,2.234,6.727,3.032,1.57,2.546,2.234,2.755,16.144
121,Cluj-Napoca,Romania,2018,3.924,3.744,3.392,3.846,2.009,5.584,2.434,6.481,4.426,2.047,4.6,2.06,6.901,1.876,1.036,1.614,1.28,2.206,19.738
122,Oslo,Norway,2018,2.665,2.77,5.0,5.205,2.091,5.701,4.189,7.503,5.781,1.326,3.789,3.937,5.02,5.429,3.752,5.228,4.803,3.796,10.578
123,Bratislava,Slovakia,2018,3.847,3.866,3.458,3.725,2.287,5.513,2.96,6.512,4.959,2.292,5.063,2.746,6.214,2.484,1.741,2.164,1.718,2.683,19.029
124,Iasi,Romania,2018,4.002,3.842,3.329,3.749,1.78,4.875,2.087,6.14,4.591,3.128,4.614,2.388,6.573,1.844,0.803,1.559,1.341,1.891,16.117
125,Brno,Czech Republic,2018,3.667,3.492,3.632,4.124,2.221,5.79,3.006,7.873,4.123,2.407,4.879,2.539,6.421,2.329,1.467,2.082,1.354,2.724,20.29
126,Bologna,Italy,2018,2.922,3.289,4.551,4.376,2.009,4.58,2.665,6.223,4.245,3.785,5.428,3.909,5.048,3.661,1.986,3.262,3.299,2.819,8.57
127,Craiova,Romania,2018,2.845,2.607,4.674,5.524,1.764,4.941,2.389,5.612,3.085,2.899,4.184,1.608,7.082,1.59,0.521,1.33,0.984,2.159,13.017
128,Krakow (Cracow),Poland,2018,3.702,3.963,3.591,3.63,1.976,4.734,2.995,6.468,4.664,3.845,4.572,3.219,5.74,2.121,1.384,1.705,1.483,2.714,15.63
129,Oradea,Romania,2018,3.625,2.997,3.675,4.807,1.911,4.678,2.047,5.497,3.027,3.311,4.886,2.24,7.466,1.803,0.565,1.528,1.004,1.72,14.333
130,Zagreb,Croatia,2018,3.162,3.232,4.206,4.452,1.829,5.656,2.612,6.751,5.171,1.954,5.153,2.327,6.634,2.686,1.172,2.303,1.806,2.367,15.727
131,Warsaw,Poland,2018,4.002,4.305,3.326,3.343,2.058,5.132,3.146,6.325,5.93,2.83,4.699,2.992,5.967,2.237,1.713,1.792,1.634,2.851,18.443
132,Kazan,Russia,2018,5.21,4.288,2.557,3.359,1.094,3.732,1.599,6.378,7.08,3.278,4.716,3.747,5.921,1.831,0.975,1.573,1.696,1.886,13.495
133,Novosibirsk,Russia,2018,4.884,5.117,2.723,2.811,1.062,2.903,1.87,6.936,5.849,2.755,4.108,4.218,4.739,1.846,0.926,1.663,1.351,1.766,13.473
134,Helsinki,Finland,2018,2.622,3.281,5.075,4.388,2.63,6.678,4.634,7.748,5.563,0.763,3.874,2.185,6.776,4.065,3.085,3.433,3.735,4.199,20.748
135,Porto,Portugal,2018,4.25,4.759,3.133,3.025,2.385,5.631,2.576,7.619,4.868,2.125,6.119,3.853,5.104,2.544,1.589,2.129,1.708,2.335,20.275
136,Riga,Latvia,2018,4.139,4.402,3.218,3.27,2.27,5.015,2.188,5.701,5.443,2.069,4.71,3.396,5.562,2.541,1.16,1.979,1.98,1.983,15.58
137,Athens,Greece,2018,3.736,3.249,3.562,4.431,2.058,4.314,2.151,5.267,5.835,3.42,6.015,4.434,4.522,2.995,1.064,2.387,2.509,1.949,7.11
138,Gothenburg,Sweden,2018,2.416,2.932,5.516,4.911,2.581,6.575,4.562,7.092,3.236,1.103,4.831,3.746,5.212,3.908,2.319,3.602,3.525,4.134,15.873
139,Rijeka,Croatia,2018,3.633,3.517,3.667,4.091,1.846,5.588,2.32,6.403,2.89,1.607,5.308,1.741,7.221,2.711,0.936,2.308,1.808,1.896,18.694
140,Bucharest,Romania,2018,4.361,4.402,3.054,3.272,2.025,4.395,2.391,5.642,6.126,3.929,4.705,2.584,6.377,2.055,1.066,1.702,1.571,2.166,15.584
141,Dusseldorf,Germany,2018,2.536,3.021,5.239,4.764,2.564,5.905,4.501,7.492,5.707,2.319,5.21,2.651,6.309,3.82,2.767,3.055,2.902,4.222,17.297
142,Yekaterinburg,Russia,2018,4.67,4.743,2.849,3.038,1.16,3.406,2.141,7.076,5.891,4.219,1.337,2.808,4.654,1.948,0.944,1.761,1.397,1.94,12.016
143,Luxembourg,Luxembourg,2018,3.453,3.265,3.857,4.411,2.613,6.979,5.185,8.149,5.39,1.096,5.227,2.562,6.398,4.417,4.69,3.846,4.243,4.699,24.962
144,Timisoara,Romania,2018,4.267,3.387,3.119,4.254,2.156,5.229,2.405,6.804,3.884,3.432,5.085,2.088,6.873,1.928,0.821,1.593,1.431,2.179,18.389
145,Gdansk,Poland,2018,3.933,4.296,3.382,3.35,2.205,5.671,2.961,6.43,4.468,1.565,4.547,3.708,5.25,2.27,1.355,1.714,1.586,2.683,18.899
146,Geneva,Switzerland,2018,2.819,2.94,4.714,4.899,2.695,6.782,5.329,7.233,3.717,1.564,5.173,2.368,6.593,6.245,5.46,6.463,5.022,4.829,19.876
147,Gdynia,Poland,2018,3.53,3.679,3.773,3.913,2.221,5.564,2.744,5.991,4.193,3.653,4.746,3.61,5.828,2.217,1.112,1.774,1.7,2.691,14.734
148,Poznan,Poland,2018,3.856,3.98,3.451,3.616,2.287,4.794,1.903,5.859,5.108,2.035,5.152,3.451,5.507,2.097,1.176,1.747,1.453,2.752,15.886
